19km 	19 km 
skemmtielgt 	skemmtilegt 
skipts 	skipst 
skonar 	konar 
skotævingarsvæði 	skotæfingarsvæði 
skoðanna 	skoðana 
skydur 	skyldur 
skærst 	skært 
skírteni 	skírteini  
skíðagömgukappinn 	skíðagöngukappinn 
skólaandan 	skólaandann 
sköpunnarinnar 	sköpunarinnar 
skýn 	skín 
skýrlífi 	skírlífi 
skýrskotun 	skírskotun 
slíkum frammistöðum 	slíkri frammistöðu 
slökklið 	slökkvilið 
smyndinni 	kvikmyndinni 
smáminnkanndi 	smáminnkandi 
smáskifan 	smáskífan 
smásmíð 	smásmíði 
snoturn 	snotran 
snuðrulaust 	snurðulaust 
snúm 	snúum 
snýkill 	sníkill 
snýstu 	snýst 
so 	svo 
spenninngur 	spenningur 
spjallþáttastjórnanandanum 	spjallþáttastjórnandanum 
spreya 	spreyja 
sprotin 	sprottin 
spurja 	spyrja 
spíral turni 	spíralturni
spítulum 	spítölum 
ssek 	sek
stafesti 	staðfesti 
stafrækti 	starfrækti 
stangt 	strangt 
staðfestngar 	staðfestingar 
stefnunar 	stefnunnar 
steinninn 	steininn 
stemmt 	stefnt 
sterkann 	sterkan 
steyma 	streyma 
stjarfklofa 	stjarfur 
stjórarandstöðunnar 	stjórnarandstöðunnar 
stjórnarformaðu 	stjórnarformaður 
stjórnarskránna 	stjórnarskrána 
stjórnmálaum 	stjórnmálum 
stjórnmálaþáttöku 	stjórnmálaþátttöku 
stjórnsýslu stofnanna 	stjórnsýslustofnana 
stjórvöld 	stjórnvöld 
stollti 	stolti 
stoltann 	stoltan 
stoðsenidngar 	stoðsendingar 
stra x 	strax 
strekan 	sterkan 
strákrnir 	strákarnir 
strórsteyminu 	stórstreyminu 
stundarákvörðun 	skyndiákvörðun 
styrir 	stýrir 
styrktaraðil 	styrktaraðila 
styðju 	styðja 
stækkunnar 	stækkunar 
stæsta 	stærsta 
stórann 	stóran 
stóriðjur 	stóriðja 
stórkostlegann 	stórkostlegan 
stöugri 	stöðugri 
stöðvarhússgrunninum	stöðvarhúsgrunninum
stúdentaleikfélagaið 	stúdentaleikfélagið 
stúdentsskirteini 	stúdentspróf 
sumsstaðar 	sums staðar 
sumurs 	sumars 
sunnudagskveldi 	sunnudagskvöldi 
suðurendan 	suðurendann 
sveitarstjórnarkosningana 	sveitarstjórnarkosningarnar
sveitnarinnar 	sveitarinnar 
sviftingum 	sviptingum 
svipaðann 	svipaðan 
svosem 	svo sem 
svuntuþeyjara 	svuntuþeysara 
svuntuþeyjarar 	svuntuþeysarar 
synfónía 	sinfónía 
synfóníustjórnandi 	sinfóníustjórnandi 
synunum 	sonum 
sætingi 	sætindi 
sérfærðiráðgjafar 	sérfræðiráðgjafar 
sérkennnilegt 	sérkennilegt 
sérst 	sést 
sérstakann 	sérstakan
sérstklega 	sérstaklega 
sí vaxa 	
sínni 	sinni 
sínt 	sýnt 
síðaustu 	síðustu 
síðstliðið 	síðastliðið 
síðstu 	síðustu 
síðsutu 	síðustu 
sókt 	sótt 
sólarljóst 	sólarljós 
söluhætsta 	söluhæsta 
sönkona 	söngkona 
súkdómi 	sjúkdómi 
sýnr 	snýr 
sýnti 	sýndi 
takas 	takast 
takmarkaðann 	takmarkaðan 
talnan 	talna 
talsverjar 	talsverðar 
talvan 	tölvan
talvan 	tölvan 
tegundinn 	tegundin 
tegundur 	tegundir 
teigðu 	teygðu 
tengls 	tengsl 
tenglsum 	tengslum 
teninginum 	teningnum 
textíleifum 	textílleifum 
ti 	til 
tii 	til 
tildæmis 	til dæmis 
tilfinninngarokk 	tilfinningarokk 
tilganslaus 	tilgangslaus 
tilhneiginu 	tilhneigingu 
tilhneygingu 	tilhneigingu 
till 	til 
tilliembætti 	tylliembætti 
tilliástæður 	tylliástæður 
tilllaga 	tillaga 
tilskylinn 	tilskilinn 
tiltöluega 	tiltölulega 
tiltörulega 	tiltölulega 
tjaldurs 	tjalds 
tl 	til 
tlberasmjör 	tilberasmjör 
togararralli 	togararalli 
top 	topp 
torfærin 	torfarin 
transtónslistar 	transtónlistar 
traustverðugari 	traustverðugri 
tropmetleikaranum 	trompetleikaranum 
trúnaðs 	trúnaðar 
ttákn 	tákn 
tugguð 	tuggið 
tveimru 	tveimur 
tvem 	tveim
tvöhundruð 	tvö hundruð 
tyggigúmmí popp 	tyggjópopp 
tæmzt 	tæmst 
tímabilinnu 	tímabilinu 
tímabundumð 	tímabundnum
tíman 	tímann 
tímanns 	tímans 
tímas 	tímans 
tóks 	tókst 
tólkst 	tókst 
tónlisastefnum 	tónlistarstefnum 
tónlisitn 	tónlistin 
tónlistamenn 	tónlistarmenn 
tónlistarsefnunum 	tónlistarstefnunum 
tónlistarsumarbúði 	tónlistarsumarbúðir 
tónskáldinn 	tónskáldin 
tósskaparáhöldum 	tóskaparáhöldum 
töggl 	tögl 
tölvert 	töluvert 
umborð 	um borð 
umkringur 	umkringdur 
umræðuum 	umræðu um 
undandarið 	undanfarið 
undanskyldum 	undanskildum 
undantekngingartilvikum 	undantekningartilvikum 
undantekninar 	undantekningar 
undir búningin 	undirbúninginn 
uppgröftin 	uppgröftinn 
uppgröftnum 	uppgreftinum 
uppgvötun 	uppgötvun 
uppgötvannir 	uppgötvanir 
upplifaði 	upplifði 
uppoði 	uppboði 
upprunar 	upprunnar 
upprunið 	upprunnið 
upptölu 	upptöku 
uppá 	upp á 
uppúr 	upp úr 
utanríkisráðherran 	utanríkisráðherrann
vaið 	við 
vallarstarfsmannin 	vallarstarfsmanninn 
vandræðanleg 	vandræðaleg 
vaniluskyr 	vanilluskyr 
vaqr 	var 
varirirnar 	varirnar 
varðadi 	varðandi 
varðarn 	varðar 
vegbrý 	vegbrýr 
vegfarnenda 	vegfarenda 
veirð 	verið 
vekji 	veki 
venjúlega 	venjulega 
ver samfeld 	var samfelld 
veriði 	verið 
verkefnir 	verkefnin 
verkmannaflokkurinn 	verkamannaflokkurinn 
verlsað 	verslað 
verlunar 	verslunar 
verslunirnar 	verslanirnar 
verðalag 	verðlag 
verðlunagrip 	verðlaunagrip 
vestina 	vextina 
vetir 	veitir 
vetvangi 	vettvangi 
veðmæti 	verðmæti 
viikunni 	vikunni 
viljat 	vilja 
viljii 	vilji 
villdýralaganna 	villidýralaganna 
vinnslustingi 	vinnslustigi 
vinstramegin 	vinstra megin 
vinældum 	vinsældum 
viriðist 	virðist 
virktasta 	virkasta 
viru 	voru 
virðst 	virst 
visitasía 	vísitasía 
viðbröðgum 	viðbrögðum 
viðhadið 	viðhaldið 
viðmörkum 	viðurlögum 
viðuppgröft 	við uppgröft 
viðurkenntar 	viðurkenndar 
vonbrygðin 	vonbrigðin 
vonbrygðum 	vonbrigðum 
vondukarlarnir 	vondu karlarnir 
vopunum 	vopnum 
vorinn 	vorin 
voru aðalega 	var aðallega 
vour 	voru 
vápnalausar 	vopnlausar 
vænann 	vænan 
vídeómyndum 	myndböndum 
víjkandi 	víkjandi 
vítaspyrnukeppi 	vítaspyrnukeppni 
víðamiklar 	viðamiklar 
víðfem 	víðfeðm 
vð 	við 
vörlslu 	vörslu 
vöruafgeriðslur 	vöruafgreiðslur 
yffirráð 	yfirráð 
yfirheyrslunar 	yfirheyrslunnar 
yfirstandi 	yfirstandandi 
yfirvegunnar 	yfirvegunar 
yfirvovandi 	yfirvofandi 
Árdalsafossi 	Árdalsfossi 
Íhaldsflokkinum 	Íhaldsflokknum 
Íraskar 	Írakskar 
Ólfasvík 	Ólafsvík 
Ólympíhópi 	ólympíuhópi 
Ólympímótinu 	Ólympíumótinu 
Úkraínumönnu 	Úkraínumönnum 
Úngverjalandi 	Ungverjalandi 
Þessarri 	Þessari 
Þetat 	Þetta 
Þorgeði 	Þorgerði 
Þorteinsson 	Þorsteinsson 
Þónokkrir 	Þó nokkrir 
Þórvaldur 	Þorvaldur 
ábygðaleysi 	ábyrgðarleysi 
áfallt 	ávallt 
áfastann 	áfastan 
áfengjum 	áfengum 
áframaldandi 	áframhaldandi 
áfórmum 	áformum 
áhesrslu 	áherslu 
áhggyjur 	áhyggjur 
áhirf 	áhrif 
áhveðið 	ákveðið 
ákeðnu 	ákveðnu 
ákvörðunnar 	ákvörðunar 
áratugarinns 	áratugarins
áratuginum 	áratugnum
áratugsins 	áratugarins 
ásmeginn 	ásmegin 
ásás 	árás
ávalt 	ávallt 
áverkefa 	áverka 
áveða 	ákveða 
áðurnefnir 	áðurnefndir 
áðurupptekin 	áður upptekin 
áþreyfanlegi 	áþreifanlegi 
æfin 	ævin 
ættingar 	ættingjar 
ættkvískarinnar 	ættkvíslarinnar 
érekki 	ég er ekki 
íbúadreif 	dreifing íbúa 
ífið 	ívið 
ílla 	illa 
írösk 	írönsk 
íshokki 	íshokkí 
íslensra 	íslenskra 
ísoprópanóls 	ísóprópanóls 
íssöltu 	ísöltu 
óeyrða 	óeirða 
óeyrðunum 	óeirðunum 
óforskammanlegt 	óforskammað 
ógnanir 	ógnir
ógnarferð 	ógnarhraða 
óhefbundnum 	óhefðbundnum 
óhrekjanleikja 	óhrekjanleika 
óhugnarlegir 	óhugnanlegir 
ólympíuleikana 	ólympíuleikanna 
ónefndann 	ónefndan 
óprútinna 	óprúttinna 
órafmöguð 	órafmögnuð 
óreglubudnu 	óreglubundnu
ósamála 	ósammála 
óstöðuleika 	óstöðugleika 
ósæskileg 	óæskileg 
óvísindlegan 	óvísindalegan 
óðarlsmörkin 	óðalsmörkin 
óðauð 	afturgengin 
ödum 	öldum 
öfgamenninna 	öfgamennina 
ökuréttndi 	ökuréttindi 
ökuskírteni 	ökuskírteini 
ökuskírteni fyrir 	ökuskírteini til 
ökuskírtenið 	ökuskírteinið 
ökuskírtenum 	ökuskírteinum 
öldungardeildinn 	öldungadeildin 
örbrigð 	örbirgð 
örbygðina 	örbirgðina 
örkumlu 	örkumlun 
örofi 	örófi 
örskotstundu 	örskotsstundu 
öruggleg 	örugglega 
öryggisveita 	öryggissveita 
öðlst 	öðlast 
úrheli 	úrhelli 
úrhellinnu 	úrhellinu 
úrsltin 	úrslitin 
útaf 	út af 
útbreyðslu 	útbreiðslu 
útgáfufyrirtækisin 	útgáfufyrirtækisins 
útgáfunnu 	útgáfunni 
útlendiga 	útlendinga 
útlátinn 	útilátinn 
útskýria 	útskýra 
útskýrslu 	útskýringu 
útvarpstöðum 	útvarpsstöðvum 
útvarpsþáttarröðin 	útvarpsþáttaröðin 
útveru 	útiveru 
útýma  	útrýma 
ýfangsmikil 	umfangsmikil 
ýkji 	ýki 
ýminda 	ímynda 
ýmisar 	ýmsar 
ýmisum af 	ýmsum 
ýsmum 	ýmsum 
þaklátt 	þakklát 
þan 	þann 
þangskeggnum 	þangskegginu 
þankagagni 	þankagangi 
þarlendis 	þar 
þarlendis 	þar í landi 
þeass 	sér 
þeira 	þeir 
þeirr 	þeirra 
þekkingarfæðilega 	þekkingarfræðilega 
þenna 	þennan 
þennann 	þennan 
þernunar 	þernunnar 
þessarra 	þessara 
þessarrar 	þessarar 
þessarri 	þessari 
þessujm 	þessum 
þingkosningana 	þingkosningarnar 
þingkosningarnir 	þingkosningarnar
þingu 	þingi 
þjálfarin 	þjálfari 
þjóðaratkvæðagreriðslu 	þjóðaratkvæðagreiðslu 
þjóðarbrotana 	þjóðarbrotanna 
þjóðarflokkinum 	þjóðarflokknum 
þjóðarlflokkurinn 	þjóðarflokkurinn 
þjóðarmorðana 	þjóðarmorðanna 
þjóðernishiggja 	þjóðernishyggja
þjóðernishópanir 	þjóðernishóparnir 
þjóðfarinnar 	þjóðarinnar 
þjóðflokkinum 	þjóðflokknum 
þjóðhagsreikiningar 	þjóðhagsreikningar 
þrautsegju 	þrautseigju 
þrefallt 	þrefalt 
þremeningarnir 	þremenningarnir 
þressuvörn 	pressuvörn 
þriðjun 	þriðjung 
þroskaðari 	þroskaðri 
þríðja 	þriðja 
þróaðara 	þróaðra 
þróunnar 	þróunar 
þröskular 	þröskuldar 
þrú 	þrjú 
þrýsingi 	þrýstingi 
þsem 	sem 
þu 	þú 
þufti 	þurfti 
þurkaði 	þurrkaði 
þvi 	því 
þvíer 	því er 
þvó 	því 
þykis 	þykist 
þá bauðs 	bauðst 
þádaga 	þá daga 
þáttaka 	þátttaka 
þáttana 	þáttanna 
þáttarinns 	þáttarins 
þátttana 	þáttanna 
þáttöku 	þátttöku 
þæginlega 	þægilega 
þærra 	þeirra 
þætttinum 	þáttunum 
þónokkurrar 	þó nokkurrar 
