Query	Correction
brautrýnjandi	brautryðjandi
brauü	braut
bre´f	bréf
breað	breið
breakfast	breskast
breð	breið
bréð	bréf;bréfið
bréður	bróður;bráður
bref	bréf
brèf	bréf
bréf,	bréf
brefað	bréfað
brefður	bregður
bréffowm	bréfform
brefið	bréfið
bréfið.	bréfið
brefjað	refjað
brég	bréf
bregda	bregða
bregðaast	bregðast
bregðsat	bregðast
bregðst	bregðast
breggðast	bregðast
bregpur	bregður
bregrún	Bergrún
bregsa	bregða
breiæa	breiða
breida	breiða
breiðarblik	Breiðablik
breiðarfjörður	Breiðafjörður
breiddargtáða	breiddargráða
breiddst	breiddist
breiðfjörður	Breiðafjörður
breidholt	Breiðholt
breidholti	Breiðholti
breiðolt	Breiðholt
breiðoly	Breiðholt
breimina	breiminu
breinglanðann	brenglaðan
breinlaða	brenglaða
breinlaði	brenglaði
breinlaður	brenglaður
breita	breyta
breitast	breytast
breiti	breyti
breiting	breyting
breitingar	breytingar
breitjið	breytið;brytjið
breitta	breytta
breittu	breyttu
breittur	breyttur
breiya	breiða;breyta
brékan	brekan;brekán
brékán	brekán
brekkunar	brekkunnar;brekkurnar
bréklamma	bréfklemma;bréfaklemma
bréklemma	bréfklemma;bréfaklemma
bremlaður	bramlaður;brenglaður
bremmsukloss	bremsuklossa;bremsuklossi
bremsaðs	bremsað
bremsaður	bremsaðu
brendi	brenndi
brendur	brenndur
brengalð	brenglað
brenjlaður	brenglaður
brenlaður	brenglaður
brennlaður	brenglaður
brennnisteinn	brennisteinn
brenska	breska;enska
brent	brennt
brenug	brekug
brés	bréfs
bressk	bresk
brésti	bresti
brestq	brest;breskt
bret	breti
brét	bréf
bréti	bréfi;breti
brétibríeti	breti;bríeti
bretlamd	Bretland
brétland	Bretland
bretlandi	Bretlandi
brétt	brett
brettareið	brettari
breutingar	breytingar
brexit	breitt
breyast	breytast
breyðast	breiðast
breydd	breidd
breyddur	breiddur
breyðu	breiðu
breyðuð	reyðuð
breygðuð	beygðuð
breygður	bregður
breyggja	bryggja
breying	breyting
breykja	reykja
breyksleiki	breyskleiki
breynglað	brenglað
breynglaður	brenglaður
breynlaða	brenglaða
breynlaður	brenglaður
breys	breyta;breyst
breysta	breyta;breyst
breything	breyting
breytillegt	breytilegt
breytingalög	breytingarlög
breytingana	breytinganna
breytingarlaus	breytingalaus
breytingarskeið	breytingaskeið
breytja	breyta;brytja
breytjið	breytið;brytjið
breyts	breyst
breyttisst	breyttist
breyttym	breyttum
breytuð	breytu
breyur	breytur
brezta	bresta
brglót	Bergljót
brgur	Bergur
brí	frí;brú
bría	brúa
bridda	brydda
bridge	brids
briðja	biðja;bryðja
briðmill	brimill
bridshanda	brimsanda
briéf	bréf
bríet	Bríet
brietu	brittu;Bríeti
brífa	rífa
bright	brigt
brik	brík
brimbetti	brimbretti
brimbrettibrun	brimbrettabrun
brimina	briminu
brimirll	brimill
brimlaður	brimlöður
brimur	brimurð
brina	bruna
brína	brýna
brinda	binda
brindís	Bryndís
brindys	Bryndís
bringlaða	brenglaða
bringlaði	brenglaði
bringlaður	brenglaður;ringlaður
brinhildur	Brynhildur
bríni	brýni
brínimum	brýninum
brinna	brynna
brío	brík
brióta	brjóta
brisinga	brislinga
brisingur	brislingur
briskjand	breiskjan
briskjandi	beiskjandi
brist	bryst
briti	birti;bryti
britt	beitt;breitt
britur	birtur
bríwt	bríet
brjá	hrjá
brjal	brjál
brjálaðingur	brjálæðingur
brjaladur	brjálaður
brjaladut	berjalaut;brjálaður
brjáluður	brjálaður
brjánsar	bjánar
brjoða	bjóða
brjóða	bjóða;rjóða
brjöóst	brjóst
brjos	bros
brjósa	frjósa
brjósinu	brjóstinu;brjóskinu
brjöst	brjóst
brjóstamál	brjóstmál
brjóstklos	brjósklos
brjóstun	brjóstum;brjóstunum
brjóstvíði	brjóstsviði
brjóstykri	brjóstsykri
brjota	brjóta
brjóta	brjóta
brjótinu	brjóstinu
brjótna	brjóta
brjótta	brjóta
brjótur	brjótur
brjuta	brjóta
brkir	birkir
brkkk	brokk
brljar	beljar
brn	barn;brún
brnadari	brandari
broasa	brosa
brođ	roð
broðar	boðar;bróður
broddgaltarh	broddgaltar
broder	broderi
broðer	bróðir
bróðhófur	broðhófur
brodíe	bróðir
brodír	bróðir
broðir	bróðir
bródir	bróðir
bróđir	bróðir
bròðir	bróðir
bröðir	bróðir
bróðirmömmu	bróðir;mömmu
bróðirr	bróðir
bróðit	bróðir
bröðru	blöðru
bróðu	bróður
bróðuir	bróður
brodur	bróður
broður	bróður
bróður.	bróður
bróðuy	bróður
bróðyrsonur	bróðursonur
brófubeinak	rófubeina
brogarlandslag	borgarlandslag
brogin	borgin;bogin
brögs	brögð
broileri	brilleri
brókaì	bróka
brókast	bókast;brókast
brokinni	brókinni
brokkol	brokkolí
bróklin	bróklin
bróklind	bróklind
bróklindi	bróklindi
brokoli	brokkolí
brokolí	brokkolí
brókoli	brokkolí
brómsir	krómsir
brön	bröns
bröndurun	bröndurum;bröndurunum
bröngarar	brenglarar
bröngarur	bröngsuð
brönsinn	bransinn;brönsinn
bronspenningar	bronspeningar
bronsupeningar	bronspeningar
bronsurpeningar	bronspeningar
broogöltur	broddgöltur
broogöltut	broddgöltur
brópir	bróðir
brópur	bróður
brósa	brosa;brósa
brosaðu	brostu
brósandi	brosandi
brósir	bróðir
broskall	broskarl
broskallar	broskarlar
broskallinn	broskarlinn
broskarlin	broskarlinn
brosmildni	brosmildi
brósó	bros;brósi
brosoðu	brösuðu
brosq	bros
brossi	brosi;bossi
brost	brostu;brosti
brosuðu	brösuðu;brostu
brösuleg	bröstuleg;brösulega
brösulega	brösuglega
brót	brot
brotfar	brotnar
brothættulegur	brothættur
brötla	brölta
brotstj	brosti
brottfallinn	brottfallið
brottfallur	brottfall
brottfarastaður	brottfararstaður
brottfelly	brottfalli
brottfelt	brottfall
brottflutningut	brottflutningur
brotthætt	brothætt
brotthættur	brothættur
brotthvaf	brotthvarf
brottin	brotin
brottná	brottnám;brotna
brottnádi	brottnámi;brotnaði
bróttnádi	brottnámi;brotnaði
brottnam	brottnám
bróttnam	brottnám
brott­rekstur	brottrekstur
brottresktur	brottrekstur;brottrækur
brottreskur	brottrekstur;brottrækur
brottröktu	brottræku
brottvisunin	brottvísunin
brottvisuninn	brottvísuninni
brottvísuninn	brottvísunin
bróun	þróun
brrða	borða
brréf	bréf
brrosa	brosa
brskel	skel
brste	birst
brtuna	birtuna
bruð	bruðl
brúđan	brúðan
bruder	brúðar
bruðgumi	brúðgumi
brúðie	brúði;brúður
brúðis	brúði
bruðlq	bruðl
brúðmei	brúðarmey
brúðmey	brúðarmey
brúðpur	brúður
brúdur	brúður
brúðurni	brúðurin;brúðurinni
brúðurnótt	brúðkaupsnótt
brufa	prufa
brugðat	bregðast;brugðist
brugði	brugðið;bregði
brugðiá	brugðið
brugðst	brugðist
brugt	burðugt
brúinn	brúin
brull	bull;bruðl
brulla	bruðla
brullhlaup	brullaup
brúmey	brúney
brúminum	bríminum
brumsan	bremsan
brunastodum	brunastöðum
brunch	bruns;bröns
brúnf	brúnt
brungar	brunar;ungar
brunl	brun
brunnkluka	brunnklukka
brúnnt	brúnt
brúnrauæ	brúnrauð
brunsj	bruns;bröns
brúnsvík	Brúnavík
brunt	brund
brúnur	brúnn
brupkaup	brúðkaup
brúpkaup	brúðkaup
brus	brúsi
brusan	brúsan;brúsann
brusel	brussel
brusi	brúsi
brússi	brúsi
brussuð	brussur
brusuleg	brussuleg
brútust	brutust
brwgða	bregða
brýa	brúa
bryða	bruða
bryggði	byggði
brýggja	bryggja
bryggjuni	bryggjunni
brygslur	brigslar
bryjálapur	brjálaður
bryjarr	brynjar;byrjar
bryjna	brynja
bryjun	byrjun
brykjan	brynjan;bryggjan
brykkju	drykkju;bryggju
brym	brim
brymlaðan	bramlaðan
brymlaður	bramlaður
brýndann	brýndan
bryndíd	Bryndís
bryndis	Bryndís
bryndís	Bryndís
brynglaða	brenglaða
brynglaður	brenglaður
brýnja	brynja;brýna
bryóta	brjóta
brýrn	brýr;brýnn
brýrnnar	brýrnar;brýnnar
bryskjandi	breyskjandi
bryt	brot
brýtja	brytja
brytnar	brotnar
brýtr	brýtur
bsaka	baka;saka
bsiggi	siggi;Siggi
bsjá	sjá
bskari	bakari
bskipi	skipi
bskki	bakki
bsrn	barn
bsta	besta
bstaðsetning	staðsetning
bstur	bestur
bt	bit
btéf	bréf
btenna	brenna
bteyskleiki	breyskleiki
bteyskleoki	breyskleiki
bteyta	breyta
bteytast	breytast
btré	tré
bu	bú
bua	búa
buá	búa
búa.	búa
búa1	búa
búaa	búa
buabúa	búa
buanagras	baunagras
bubbla	bobbla;búbbla
búbblan	júbbulegan
búbúinn	búbúinn;búinn
bucur	buxur
buð	búð;bað
búđ	búð
bùð	búð
büð	búð
búðaðann	búðaðan
búðaðans	búðaðan
búðareigandanna	búðareigandann
búðarferð	búðarverð
búðartóptanna	búðartóftanna
búðasa	búðaða
búdd	búdda
búddanum	búddunum
buðge	buga;bugða
búđiđ	búðið
buðin	búðin;boðin
búðína	búðina
buðing	búðing
búðini	búðinni
búđinni	búðinni
buðinu	boðinu
buđir	búðir
buðir	búðir
buðirnar	búðirnar
búdirnar	búðirnar
búđirnar	búðirnar
búðirnarð	búðirnar
buðl	bruðl
búðni	búðin
budu	buðu
búdunum	búðunum
buesta	besta
búfa	búa
bufall	buffall
buffalo	buffal
buffalói	buffli
buffee	buffet
búffer	buffet
búga	búa
bugð	bugað
bugði	bugaði
bugf	bug
bugiða	bugða
bugiðu	bugðu;bugirðu
bugl	bug
bugo	bugi
buið	búið
búiðbúinn	búiðbúinn;búið;búinn
build	buldi
buin	búin;bein
buín	búin;burn
búin.	búin
búinbúinn	búinbúinn;búin;búinn
búinganna	búninganna
búingar	búningar
búininur	búningur
buinjn	búinn
buinn	búinn
buínn	búinn
buip	bupp
búja	búa
bújörður	bújörðum
bukannir	bunkarnir
búkrinn	búkurinn
búksur	búkur
bulda	hulda
búlgaria	Búlgaría
búlgarisk	búlgarísk
bulgariska	búlgaríska
búlgvarskur	búlgarskur
bulir	bunir;gulir
bullár	bullar
búllí	búllu
bulnast	bunast
bulr	bull
búlsma	fúlsa
bulur	bylur
bumfinn	bumbinn;bundinn
bumoll	ball;bómull
bumt	búnt
bun	buna
búnapar	búnaðar
búndid	bundið
búndið	bundið
bundinar	bundinnar
bunding	bundin
bundinnn	bundinn
búngaður	búnaður
bungun	bugun
búngur	bungur
búnigur	búningur
búninbur	búningur
buninga	búninga
buningi	búningi
búningklefana	búningsklefana
búningklefar	búningsklefar
búningsastöðu	búningsaðstöðu
búnka	bunka
bunkur	bunur;bunkar
bunnd	bind
bunnt	unnt
buø	bug
bupið	buppið
búpin	búin
búq	bú
burað	burða
burar	burðar
burðs	burða
búretta	bretta
búrkina	búrkona
burmans	bermans
búrmanskt	birmanskt
burmönskur	birmönskum
burpa	bura
búrsforræði	búsforræði
burth	burt
buryt	burt
búsaga	búrsaga
búsáhold	búsáhöld
búsálhöld	búsáhöld
búsetaður	búsettur
búsetar	búsettar
búsif	búsi
búsin	búin
buskað	buska;buslað
buskaðu	bukkaðu;buslaðu
buskin	buskinn
buslinni	buslunni
buss	busa
bustaður	bústaður;burstaður
busti	bursti
bustir	burstir
búströrfum	bústörfum
bustuð	burstuð
but	bút
bútunn	bútun
buúm	búum
buur	buxur;bunur
búusettir	búsettir
buxnaskál	buxnaskálm
buxn­a­streng	buxnastreng
buxn­a­strengnum	buxnastrengnum
buxom	buxum
buxsur	buxur
buxu	buxur;uxu
buxuð	buxur
buxunn	buxunum
buxunur	buxunum
buxúr	buxur
búxur	buxur
búxúr	buxur
buxurinn	bugurinn
búxurnar	buxurnar
buxutr	buxur
bví	bí
bwnda	bænda;banda;benda
bwra	bara
by	bý
býa	búa
býbúinn	nýbúinn
byð	bið
býða	bíða
byðja	biðja
byðjum	biðjum
byðs	biða
bydst	byðust;býðst
býðsy	býðst
byður	býður;biður
býdur	býður
býfast	blýfast
býfasti	blýfasti
byflinn	bylinn
bÿfluga	býfluga
bÿflugur	býflugur
bygð	byggð
bygða	byggða
bygðan	byggðan
bygðu	byggðu
bygga	byggja
byggðann	byggðan
byggðanönnum	byggðamönnum
byggdi	byggði
bygge	bygg
bygggja	byggja
byggibyggji	byggi
byggingalýsing	byggingarlýsing
byggingalyst	byggingalist
bygg­ing­ar	byggingar
byggingararfurr	byggingarþarfir
byggingareitur	byggingarreitur
byggingarframkvæm	byggingarframkvæmd
byggingarframkvæmdirnar.	byggingarframkvæmdirnar
byggingartimbur	byggingatimbur
býggingarvinna	byggingarvinna
byggingavöruversun	byggingavöruverslun
bygg­ing­in	byggingin
bygg­ing­ir	byggingar
bygg­ing­o	byggingu
byggining	bygging
byggjakja	byggakra
byggjir	byggir
byggjq	byggja
bygguðstu	byggðustu
bygguðustu	byggðustu
bygguni	bygginni;bryggjunni
byggva	byggja
byging	bygging
bygja	byggja;beygja
bygjast	byggjast;byrgjast
byiji	byrji
byjja	byrja
byjun	byrjun
bykað	bikað
byko	bik
býlantur	blýantur
bylgurnar	bylgjurnar
býling	býli
býlisl	býlis
býliss	býlis
bylmingshögn	bylmingshögg
bylni	ylni;bylinn
bylnin	bylinn
byltingakenda	byltingarkennda
byltingakennda	byltingarkennda
byltingakenndar	byltingarkenndar
byltingarkendar	byltingarkenndar
byltingarkenddar	byltingarkenndar
bylts	bylta
byndast	bindast
bynding	binding
byndingar	bindingar
bynginn	binginn
bynstu	binstu
byóða	bjóða
byŕ	býr
býrajðu	byrjaðu
býrðja	byrja
býrdu	býrðu
byrgjir	byrgir;birgir
byrgjunn	byrjunin;byrjun
byrhja	byrja;birgja
byria	byrja
býrija	byrja
byrist	byrjist;berist;borist
býrja	byrja
byrjandur	byrjendur
byrjas	byrja;byrjað
byrjðum	byrjuðum
byrjendalæsi.	byrjendalæsi
byrjendi	byrjandi
byrjhn	byrjun
byrjing	byrji;byrjun
byrjinn	byrjun
byrju	byrjun
byrjudu	byrjuðu
byrjuni	byrjun;byrjunin
byrjunnini	byrjuninni
byrkningum	byrkningnum
byrlungur	byrlunar
byróta	byrta;brjóta
býrq	býr
byrr	fyrr;byr
býrr	býr
byrrist	birtist
byrtingamynd	birtingarmynd
bysa	byssa;busa
bysi	busi
býsi	býst
býsinq	býsins
byskup	biskup
byskups	biskups
byskupsins	biskupsins
bysna	býsna
byssubrendur	byssubrenndur
byssumið	byssusmið
byssun	byssu
byssuskapt	byssuskot;byssuskaft
byssuskepti	byssuskefti
bysum	byssum
býsvax	bísvax
byta	bita;býta
bytiburi	býtibúri
býtingur	býtingar
bytri	bitri
býtu	býtum
byygja	byggja
bzr	bar
bzra	bara
bzrja	byrja
cafe	af
cálsma	sálma
can	an
canada	kanada
caritas	Karitas;Karítas
carmeni	Carmen
carníum	sarínum
casat	sat
cast	sast
catn	vatn
caxa	saxa
centimetrar	sentimetrar
chai	hafi
chair	háir
charlea	Charles
cheka	hekla
chekka	tékka
cherrym	herrum
chia	Chile
chilí	Chile
chili-	Chile
chord	hörð
chose	hosa
christel	Kristel
cíceró	síseró
cið	sið
cider	der
cígarett	sígarettu
cígaretta	sígaretta
cígaretti	sígarettu
cigarettum	sígarettum
cinna	sinna
cinnur	vinnur
cirka	virka
ciskur	fiskur
cítron	sítrón
cítrona	sítróna
cjeka	sjeika
ckosta	kosta
claire	Clara
clausen	lausan
clean	legan
club	slubb
coin	soðin
cöldu	öldu;Öldu
coma	koma
con	son
coppa	soppa
cor	or
corten	Morten
cosmós	mosamós
crack	rask
crystal	kristal
cvið	við
cysta	ysta
d-ast	dast
d-kknandi	dökknandi
d.va	dvala
d´´ýrt	dýrt
d´ma	dæma;dóma
d´mi	dæmi;dómi
d´ós	dós
d´yr	dyr;dýr
d0gg	dögg
d0kkur	dökkur
da	dag
dáa	dáða;dáta
dabók	dagbók
dád	dáð
dáda	dáða
daðblað	dagblað
dade	daðey
dadi	daði
dáðini	dáðinni
daðo	daði
dádst	dáðst
dádyr	dádýr
dádýrintá	dádýrin
dæðann	doðann
dæðið	ódæðið
dæf	æf
dæfe	æfa
dægaðist	dægraðist
dægg	dögg
dægramundur	dægramunur
dægrana	dægranna
dægrasti	dægri
dæin	dæmin
dæji	gæi
dækjar	dækja
dækjara	dækja
dækkhærð	dökkhærð
dæliing	dæling
dæln	dælan
daemd	dæmd
daemdur	dæmdur
daemi	dæmi
dæminna	dæmanna
dæmio	dæmi
daemja	dæma
dæna	dæma
dænsk	dönsk
dæos	dós
dærslina	færsluna
dæsinn	bæsinn
dæskist	dælskust
dætum	dætrum
daetur	dætur
dæturs	dætur
dæur	dætur
daf	af
dafall	rafall
dáfð	dáð
dag.	dag
dagainn	daginn
dagatak	dagatal
dagaur	dagur
dagavilt	dagavillt
dagblad	dagblað
dagblađ	dagblað
dagbladid	dagblaðið
dagblaið	dagblaðið
dagblöðunum	dagblöðunum
dagblöður	dagblöðum
dágf	dag
dagfarsþruður	dagfarsprúður
dagferja	dragferja
daggu	döggu
dagguö	döggu
daggur	dagur;Dagur
daghylki	draghylki
dagim	dagi
dagin	daginn
daginm	daginn
daginnn	daginn
daginns	daginn
dagiur	dagur;Dagur
dagmar	Dagmar
dagn	dag;Dag
dagnú	Dagný
dagny	Dagný
dagný	Dagný
dagnÿ	Dagný
dagnyn	dögunin;Dagný
dagr	dagur;Dagur
dagrúin	Dagrún
dagsetningur	dagsetningu
dagsetninh	dagsetning
dagskránn	dagskránni
dagskrla	dagskóla
dagssatt	dagsatt
dagsset	dagset
dagssetning	dagsetning
dagssetninh	dagsetning
dagssins	dagsins
dagsskráliður	dagskrárliður
dagsskrárliður	dagskrárliður
dagsslægja	dagslægja
dagtal	dagatal
daguri	dagur
dagvjört	Dagbjört
dahar	dagar
dahbók	dagbók
dahur	dagur;Dagur
daíð	Davíð
dáíitið	dálítið
daim	damm
dainn	daginn
daka	taka
dakbók	dagbók
dakíska	taktíska
dakkur	dökkur
daktaðu	aktaðu
dakur	dagur
dalalæđa	dalalæða
dalari	dalar
dalbrú	dalbrún
dáleiðs	dáleiða
dáleyða	dáleiða
dáliti	dálítið
dálitið	dálítið
dálitíð	dálítið
dálítíð	dálítið
dalitill	dálítill
dalítill	dálítill
dálitíll	dálítill
dálkin	dálkinn
dálkinu	dálkinum
dálkir	dálkur
dálkni	dálki
dallest	ballest
dalllur	dallur
dalmatíska	dramatíska
dalsaa	dalsáa
dalsaá	dalsá
dalskaða	alskaða
dáltið	dálítið
dálvík	Dalvík
dam	Dan;dal
damíti	dínamíti
damlaðari	damlaðri
damosa	amosar
dámu	dánu
dan	Dani;Dan
danaði	dansaði
dánara	dánar
dánarbeðinu	dánarbeðinum
dánarbúðum	dánarbúum
dánari	dánar
dándág	dánardag
dandlaðist	dandalaðist
danéil	dani
danés	dans
dangirs	angurs
dangris	dagris
daníel	Daníel
danile	Daniel;Daníel
daníum	Danía
dánka	danka
dánkað	dankað
danmark	Danmörk
danmarkar	annmarkar;Danmerkur
danmökur	Danmerkur;Danmörku
danmörku	Danmörku
dánni	dáinni
danse	dansa
dansgolfinu	dansgólfinu
danskmaður	dansmaður
dansleið	dansleik
danslið	dansið
dansq	dans
dansur	danskur
dansurum	dönsurum
dápa	dáða
daphr	dapur
dappað	drappað
dappur	dapur
dáppur	doppur
dapr	dapur
daprask	daprast
dápu	drápu
dápur	dapur
dápurlegur	dapurlegur
dárastu	sárastur
darin	farin
darmstadtín	darmstatín
darpur	dapur
dárr	dár
darraða	darraðar
darraðg	darrað
darraðt	darrað
darraðu	darraður
darrir	darri
dárt	sárt
dásaðir	dasaðir;dásamaðir
dasáður	dasaður
dásamd	dásemd
dásamlegheit	dásamlegt
dásamlegur	dásamlegur
dáskist	háskist
daskrokkinn	skrokkinn
dásn	djásn
dasru	dastu
dasstu	dastu
dástaða	dást
dastaðið	afstaðið
dásuðu	dáðu
dátan	dátann
dati	mati
dátr	dáti
datta	datt
dattaði	fattaði
dattaðu	drattaðu
dattanir	battarnir
dáttir	dóttir
dáttum	dráttum;dátum
dátumm	dátum
dátur	dætur
dauda	dauða
dauðalíba	dauðalína
dauðaþögh	dauðaþögn
dauðdagur	dauðadagur
dáuði	dauði
dauðin	dauðinn
dauðionn	dauðinn
dauðoi	dauði
daudsins	daussins
dauðsins	auðsins
daudur	dauður
daufga	daufa
dáug	dug
daugfg	dögg
dauknir	auknir
daumen	daman
dáuni	dáinni
daurs	daðurs
dave	dvel
daví	Davíð
davide	David;Davíð
daxari	saxari
daybla	dymbla
dayja	deyja
days	dys
de	des
deagur	dagur
dearnir	delarnir
debate	debet
debíll	bíll
debitkort	debetkort
déð	séð
defer	deyfir
degis	degi
degja	deyja
degsetning	dagsetning
dei	degi
deia	deila
deifa	deyfa
deifing	dreifing
deiginum	deginum
deigjað	deigja
deignn	deigan
deigrum	deigum
deikd	deild
deildaðu	heildaðu
deildafundir	deildarfundir
deildafundum	deildarfundum
deildarfall	deildarfjall
deildarnar	deildirnar
deildarstjora	deildarstjóra
deildastjór	deildarstjóri
deildastjóri	deildarstjóri
deildastjórn	deildarstjórn
deildini	deildinni
deipt	deilt
deira	meira
deja	deyja
dekekað	dekkað
dekkhlaðið	drekkhlaðið
dekkhlaðinn	drekkhlaðinn
dekkjand	dekkjandi
dekkun	dekka
dekkur	dekkar;dekk;drekkur
deljaa	dvelja
dell	della
delstra	elstra
delu	deilu
demdu	dæmdu
demetra	fermetra
demíti	semíti
demonis	dennis
denmark	Danmörk
dennörk	Danmörk
dentir	dentur
depandi	drepandi
dergt	dengt
derngur	drengur
derraða	derrað
derts	ders
deryma	dreyma
désa	fésa
desembert	desember
desilitri	desílítri
desire	dæsir
deskist	dekkist
déskist	desjist
deskum	diskum
desur	dekur
dét	ét
dettanir	dettarnir
deukd	deild
deva	eva
devision	division
dexja	deyja
deya	deyja
deyandi	deyjandi
deyðar	deyða
deyðubil	eyðibil
deyðue	deyðu
deyður	deyfður
deyja.	deyja
deyjar	deyja
deyji	deyi
deypilyfi	deyfilyfi
deyrak	dreyra
deyskinn	feyskinn
dfrengur	drengur
dfyndinn	fyndinn
dhabi	hafi
dheraði	hernaði
di	dúi
dí	í
dicks	disks
dickurinn	diskurinn
did	dis
díd	dís
diffað	diffrað
dífill	fífill
dífis	dífist
diflað	duflað
difra	diffra
digrún	Sigrún
digs	dags;Dags;digurs
digurðardóttir	Sigurðardóttir
dikkust	dekktust;dökkust
diktat	diktan
dikurinn	diskurinn
dilarfulli	dularfulli
dilgist	diglist
dilgja	dylgja
dilija	Dilja;Diljá
dilijá	Diljá
diljá	Diljá
díljar	dílar
dílu	díl
dimalim	dimmalimm
dimisjon	dimisjón
dimmei	dimmey
dimmer	dimmir
dimmingar	dæmingar
dimmist	dimmast
dimmtir	dimmir
dimun	eimun
dímun	tímun
din	dyn
dínadýna	dýna
dínamík	dínamít;dýnamík
dínamísk	dínamíts;dýnamísk
dínamit	dínamít
dínamórarnir	dínamóarnir
dínamýk	dýnamík
diner	dunar
dingars	Ingvars
dingja	dyngja
dínner	fínnar
dintótt	dyntótt
dinur	dynur
dír	dýr
dírabjalla	dyrabjalla
dírð	dýrð
dírðka	dýrka
direkt	drekkt
dirfi	drifi
dírindis	dýrindis
diristu	dirfistu
díritísk	spíritísk
dírrindi	dýrindi
diryndis	dýrindis
disc	diss
dísell	dísill
disk-ur	diskur
dískar	diskar
diskara	diskar
diskari	diskar
diskin	diskinn
diskist	fiskist
dískist	pískist;frískist
diskiur	diskur
diskotans	déskotans
diskurnir	diskarnir
diskþurrka	diskaþurrka
dístu	dóstu
dít	dýr
dittað	dyttað
dittaðar	tittaðar
díun	díu
díur	síur;dívur
dívann	dívan
djáandi	sjáandi
djal	dal
djalarar	hjalarar
djas	djass
djáss	djass
djatfan	djarfan
djátistu	játastu
djoða	doða
djöfulsinns	djöfulsins
djöfyull	djöfull
djögla	djöfla
djól	jól
djölf	djörf
djölful	djöful
djölfulganginn	djöfulganginn
djörfr	djörf
djúðivogur	Djúpivogur
djúðt	djúpt
djúður	djúpur
djukt	mjúkt
djúp	djúp
djúpabík	Djúpavík
djúpavogur	Djúpivogur
djuppur	djúpur
djúppur	djúpur
djúpsina	djúpsigana
djúpsinar	djúpsins
djúpsteikingur	djúpsteikir
djupt	djúpt
djupur	djúpur
djur	dyr
djus	djús
djut	djúpt
djút	djúpt
dkert	skert
dkiptir	skiptir
dkóginum	skóginum
dlætin	lætin
dlatar	flatar
dlíf	líf
dljóður	ljóður
dloðs	loðs
dlortana	lortana
dlotnara	lotnara
dlugeld	flugeld
dnasa	dansa
dner	der
dný	ný
do	dó
dód	dós;dót
doðani	doðni
döðla	daðla
dödlu	döðlu
dödlur	döðlur
does	des
dœtra	dætra
dofanði	dofnaði
dófi	sófi
doflið	dofið
döfuna	döfina
döggvu	döggu;dögg
dögnar	dögunar
dogs	doggs
dógum	dóum
dögurðuf	dögurður;dögurðum
dóis	dós
dók	tók
dök	dökk
dókbrún	móbrúnn;dökkbrúnn
dokbrúnn	dökkbrúnn
dókbrúnn	móbrúnn;dökkbrúnn
dokini	dokinni
dokjtor	doktor
dokkbrún	dökkbrún
dokkbrúnn	dökkbrúnn
dókkbrúnn	dökkbrúnn
dökkhær	dökkhærð
dökkhærd	dökkhærð
dókkhærður	dökkhærður
dökkhærđur	dökkhærður
dókkt	dökkt
dökkust	dökku;dekkst
dökt	dökkt
döl	söl
døl	díl
dólara	dólar
dolari	dollari
dolaro	dolar
dólgr	dólgar;dólgur
dolluni	dollunni
dollý	doll
døma	dæma;dóma
dómarin	dómarinn
domasa	domsa
dómgreinar	dómgreindar
dómgreint	dómgreind
dóminik	Dóminíku;Dóminíka;Dóminíki
dómis	dæmis;dómi
dóm­leg­ar	dómlegar
dómnumur	dómnum
dómorð	dómsorð
dómr	dómur
domsas	domsa
dómssaæ	dómssal
dómstólll	dómstóll
dömsum	dönsum
döna	dóna
dónárósar	Dóná;árósar
dönk	dönsk
dönka	dökka
dönmörk	Danmörk
dönmorku	Danmörku
donner	dottnir
dönska	danska;dönsku
döpa	döpur;dapra
döpan	döpin
dópis	dópi
dopóttur	doppóttur
döpp	döbb
doppótur	doppóttur
döppu	möppu;doppu
döpu	döpur
döpuð	döpur
dör	för
dorena	dárana
dórey	þórey
dorgaðið	dorgaði
dóríð	dótið
dóróthe	Dóróthea;Dórótea
dörra	derra;darra
dorriana	dorrana
dorris	doris
dörrs	dörr
dörrt	dörr
dorsa	forsa
dos	dós
dösa	dísa;dósa
dósað	dúsað
dósaði	dúsaði
dósanum	dósunum
dósbil	dósir
dóséðann	óséðan
dósi	dósin
dösi	desi
doskist	dorskist
dóskist	óskist
döskist	dönskust
dóstæki	dómtæki
döstu	föstu
dösu	dösuð
dosum	dósum
dósur	dósir
dot	dót
dotír	dottir;dóttir
dótit	dóti;dóttir
dotlu	dollu
dótóm	dótum
dotru	motru
dótta	dóta
dottari	dottaði
dótter	dóttir
dóttið	dottið
dottiír	dottir
dottír	dóttir
dóttír	dóttir
dòttir	dóttir
dóttir.	dóttir
dóttirdætur	dótturdætur
dóttiri	dóttir
dóttri	dóttir
dótttir	dóttir
döttur	dóttur
down	don
döxar	öxar
dpreyta	spreyta
dpyrja	spyrja
drá	frá
draa	draga
draði	daði
dræði	ræði
dræfer	dreifir
dræfið	dreifið
drægna	drægni
dræki	drægi
drær	dræm
dræsja	dræsa
dræst	fræst
dræur	dræsur
dræver	frævar
drafans	draflans
drafnana	drafnanna
dragbýtur	dragbítur
drakka	drekka;dralla
drakt	dragt;frakt
drálinn	dregilinn
drám	dræm;rám
dramamynd	draumamynd
dramantískur	dramatískur
dramatisk	dramatísk
dramatíslur	dramatískur
dramatúrgur	dramatúrg
